LJ001-0001|The characteristics of creative people|The characteristics of creative people,,,,
LJ001-0002|If creativity has been misunderstood,then so too has the notion of what it is to be creative.|If creativity has been misunderstood,then so too has the notion of what it is to be creative.,,
LJ001-0003|It has been assumed that only artists,musicians,and media people are creative.|It has been assumed that only artists,musicians,and media people are creative.
LJ001-0004|This is not the case.|This is not the case.,,,,
LJ001-0005|It is axiomatic of the idea of being creative that no one person’s list of characteristics will look the same as another’s.|It is axiomatic of the idea of being creative that no one person’s list of characteristics will look the same as another’s.,,,,
LJ001-0006|For what it is worth,here are the kind of words and phrases I associate with being creative|For what it is worth,here are the kind of words and phrases I associate with being creative,,
LJ001-0007|Risk taking Challenging|Risk taking Challenging,,,,
LJ001-0008|Happy to live with uncertainty|Happy to live with uncertainty,,,,
LJ001-0009|Happy to live with complexity|Happy to live with complexity,,,,
LJ001-0010|Openness Exploring Able to suspend judgment|Openness Exploring Able to suspend judgment,,,,
