666-01|The characteristics of creative people|The characteristics of creative people,,,,
666-02|If creativity has been misunderstood,then so too has the notion of what it is to be creative.|If creativity has been misunderstood,then so too has the notion of what it is to be creative.,,
666-03|It has been assumed that only artists,musicians,and media people are creative.|It has been assumed that only artists,musicians,and media people are creative.
666-04|This is not the case.|This is not the case.,,,,
666-05|It is axiomatic of the idea of being creative that no one person’s list of characteristics will look the same as another’s.|It is axiomatic of the idea of being creative that no one person’s list of characteristics will look the same as another’s.,,,,
666-06|For what it is worth,here are the kind of words and phrases I associate with being creative|For what it is worth,here are the kind of words and phrases I associate with being creative,,
666-07|Risk taking Challenging|Risk taking Challenging,,,,
666-08|Happy to live with uncertainty|Happy to live with uncertainty,,,,
666-09|Happy to live with complexity|Happy to live with complexity,,,,
666-10|Openness Exploring Able to suspend judgment|Openness Exploring Able to suspend judgment,,,,
